Filename,Nodes,Width,Height,Functions,Max Function,Total,CPU Setup,GPU Total,GPU Upload,GPU Upload Create,Preprocessing,Instruction Count,Instruction Gen,Optimize,Regalloc,Jump Fix,Postprocess
./basic/2.in/27.out,3078,697,18,9,667,2332824,4618,86962,183,31,118,125,1724,801,83770,217,11
./basic/2.in/28.out,3078,697,18,9,667,2308074,2432,88111,182,32,113,120,1694,804,84959,216,11
./basic/2.in/29.out,3078,697,18,9,667,2307397,2407,88225,179,30,117,121,1713,821,85030,221,11
./basic/2.in/30.out,3078,697,18,9,667,2340589,3743,87998,180,30,114,121,1666,815,84868,210,11
./basic/3.in/0.out,25793,5454,19,80,846,2423339,28234,125776,393,35,238,122,2035,1053,121715,196,12
./basic/3.in/1.out,25793,5454,19,80,846,2374905,20319,127356,392,36,239,122,2041,1056,123277,206,12
./basic/3.in/2.out,25793,5454,19,80,846,2394404,27020,126155,385,35,235,120,2033,1054,122089,214,13
./basic/3.in/3.out,25793,5454,19,80,846,2370413,21188,126221,386,34,239,121,2056,1058,122131,207,12
./basic/3.in/4.out,25793,5454,19,80,846,2371728,20336,126531,387,33,241,120,2024,1059,122463,211,13
./basic/3.in/5.out,25793,5454,19,80,846,2395651,26982,131930,391,34,242,119,2049,1065,127816,223,12
./basic/3.in/6.out,25793,5454,19,80,846,2387679,21240,127295,387,33,244,121,2027,1069,123228,196,11
./basic/3.in/7.out,25793,5454,19,80,846,2378171,20627,127258,383,35,235,120,2065,1063,123157,212,12
./basic/3.in/8.out,25793,5454,19,80,846,2350602,20792,127117,389,33,243,122,2004,1063,123061,210,13
./basic/3.in/9.out,25793,5454,19,80,846,2387022,19573,127322,392,32,242,119,2059,1049,123229,207,13
./basic/3.in/10.out,25793,5454,19,80,846,2430531,26974,139561,408,36,264,129,2121,1133,135267,213,13
./basic/3.in/11.out,25793,5454,19,80,846,2376916,21672,127593,383,35,236,122,2076,1047,123497,208,12
./basic/3.in/12.out,25793,5454,19,80,846,2414158,28133,127058,388,33,238,120,2043,1051,122987,207,13
./basic/3.in/13.out,25793,5454,19,80,846,2380313,21146,127316,382,31,244,124,2026,1052,123254,209,14
./basic/3.in/14.out,25793,5454,19,80,846,2360567,20503,127457,388,35,240,120,2026,1051,123393,212,13
./basic/3.in/15.out,25793,5454,19,80,846,2375495,20753,138327,387,33,238,129,2053,1066,134216,213,12
./basic/3.in/16.out,25793,5454,19,80,846,2358104,19990,127395,387,35,239,118,2015,1049,123356,208,13
./basic/3.in/17.out,25793,5454,19,80,846,2374967,20477,126340,390,34,235,119,2045,1056,122259,211,13
./basic/3.in/18.out,25793,5454,19,80,846,2369510,20761,127421,389,36,234,123,2034,1061,123348,208,12
./basic/3.in/19.out,25793,5454,19,80,846,2409026,27379,127041,384,33,232,123,2058,1063,122942,215,13
./basic/3.in/20.out,25793,5454,19,80,846,2446022,27506,127469,384,32,241,119,2068,1051,123371,210,13
./basic/3.in/21.out,25793,5454,19,80,846,2393851,27396,127966,381,34,238,119,2066,1045,123889,203,13
./basic/3.in/22.out,25793,5454,19,80,846,2418967,27939,126048,385,32,237,120,2037,1059,121981,203,12
./basic/3.in/23.out,25793,5454,19,80,846,2391687,26716,127278,390,33,241,123,2036,1046,123208,211,12
./basic/3.in/24.out,25793,5454,19,80,846,2409353,27959,126705,393,34,238,121,2017,1051,122660,199,13
./basic/3.in/25.out,25793,5454,19,80,846,2380977,20965,127584,386,33,239,122,2028,1062,123509,215,12
./basic/3.in/26.out,25793,5454,19,80,846,2400625,27456,127644,390,37,235,121,2055,1062,123554,202,12
./basic/3.in/27.out,25793,5454,19,80,846,2354241,21078,127566,389,38,245,122,2067,1045,123468,205,12
./basic/3.in/28.out,25793,5454,19,80,846,2415176,27786,143282,379,34,235,121,2037,1055,139220,210,12
./basic/3.in/29.out,25793,5454,19,80,846,2541903,27809,127573,385,35,237,118,2031,1054,123516,208,12
./basic/3.in/30.out,25793,5454,19,80,846,2396354,26753,126780,380,34,233,122,2053,1054,122706,206,13
./basic/4.in/0.out,128321,27053,19,421,1108,2513632,104462,189163,2668,98,1198,265,3787,1973,178708,524,20
./basic/4.in/1.out,128321,27053,19,421,1108,2530331,132104,185126,1367,42,495,227,3128,1783,177572,521,19
./basic/4.in/2.out,128321,27053,19,421,1108,2550586,131639,184598,1374,43,498,223,3129,1774,177043,525,19
./basic/4.in/3.out,128321,27053,19,421,1108,2555318,131147,182455,1366,43,492,222,3132,1782,174912,520,18
./basic/4.in/4.out,128321,27053,19,421,1108,2532867,130043,180189,1364,43,502,218,3134,1779,172645,514,19
./basic/4.in/5.out,128321,27053,19,421,1108,2538790,128050,177166,1365,40,503,215,3134,1779,169629,511,19
./basic/4.in/6.out,128321,27053,19,421,1108,2572365,128588,184028,1363,41,500,213,3107,1760,176532,521,19
./basic/4.in/7.out,128321,27053,19,421,1108,2534932,131568,184694,1365,43,494,228,3116,1796,177143,520,21
./basic/4.in/8.out,128321,27053,19,421,1108,2520886,100818,184657,1356,40,489,217,3115,1780,177145,521,20
./basic/4.in/9.out,128321,27053,19,421,1108,2551115,131087,194290,1381,42,508,218,3127,1803,186700,521,20
./basic/4.in/10.out,128321,27053,19,421,1108,2510937,100739,184722,1419,44,526,235,3227,1827,176939,517,19
./basic/4.in/11.out,128321,27053,19,421,1108,2559154,129248,182905,1366,42,494,220,3135,1781,175363,512,20
./basic/4.in/12.out,128321,27053,19,421,1108,2532959,128809,180069,1370,43,500,219,3124,1784,172529,511,19
./basic/4.in/13.out,128321,27053,19,421,1108,2542130,101048,177863,1371,42,498,219,3142,1802,170280,520,19
./basic/4.in/14.out,128321,27053,19,421,1108,2507867,101170,179172,1364,46,493,216,3146,1793,171615,514,19
./basic/4.in/15.out,128321,27053,19,421,1108,2543383,133009,180562,1373,41,497,214,3130,1788,173017,511,20
./basic/4.in/16.out,128321,27053,19,421,1108,2551146,128391,187721,1391,45,499,216,3152,1772,180138,521,19
./basic/4.in/17.out,128321,27053,19,421,1108,2549693,130626,185243,1379,42,494,218,3129,1785,177682,523,20
./basic/4.in/18.out,128321,27053,19,421,1108,2498670,100325,184640,1384,42,511,220,3129,1787,177062,513,22
./basic/4.in/19.out,128321,27053,19,421,1108,2490072,101142,185178,1401,44,501,219,3156,1813,177535,522,20
./basic/4.in/20.out,128321,27053,19,421,1108,2508168,101173,185279,1379,43,497,218,3147,1781,177707,519,20
./basic/4.in/21.out,128321,27053,19,421,1108,2516663,100254,185357,1392,44,501,218,3157,1798,177735,524,19
./basic/4.in/22.out,128321,27053,19,421,1108,2518965,102630,185402,1413,43,498,219,3142,1791,177779,526,20
./basic/4.in/23.out,128321,27053,19,421,1108,2539321,132465,183611,1392,40,496,212,3124,1773,176064,517,19
./basic/4.in/24.out,128321,27053,19,421,1108,2505013,100582,184184,1399,46,503,222,3182,1798,176524,523,20
./basic/4.in/25.out,128321,27053,19,421,1108,2562491,131221,186779,1834,53,640,268,3808,1991,177675,526,18
./basic/4.in/26.out,128321,27053,19,421,1108,2541806,129014,185030,1404,45,501,220,3143,1805,177168,757,20
./basic/4.in/27.out,128321,27053,19,421,1108,2580893,130604,177450,1383,45,519,224,3227,1863,169673,525,20
./basic/4.in/28.out,128321,27053,19,421,1108,2519824,102098,177201,1375,43,502,221,3124,1777,169652,518,19
./basic/4.in/29.out,128321,27053,19,421,1108,2521806,129170,180922,1391,45,499,219,3129,1775,173358,519,19
./basic/4.in/30.out,128321,27053,19,421,1108,2539344,128676,184881,1352,41,482,224,3112,1772,177385,520,21
./basic/5.in/0.out,275852,58642,19,895,1006,2655629,260745,171413,2838,238,1303,298,3959,2352,160031,591,27
./basic/5.in/1.out,275852,58642,19,895,1006,2668221,264576,177007,3393,298,1731,384,4719,2507,163635,597,26
./basic/5.in/2.out,275852,58642,19,895,1006,2656529,265984,173082,2850,245,1300,295,3961,2345,161697,594,27
./basic/5.in/3.out,275852,58642,19,895,1006,2701655,262351,172849,2853,246,1341,315,4090,2361,161233,615,28
./basic/5.in/4.out,275852,58642,19,895,1006,2633706,242931,167914,2817,235,1291,303,3963,2333,156579,589,25
./basic/5.in/5.out,275852,58642,19,895,1006,2624175,237103,172693,2837,236,1308,309,4109,2338,161160,593,26
./basic/5.in/6.out,275852,58642,19,895,1006,2644261,265553,173620,2846,236,1289,297,3966,2352,162231,600,27
./basic/5.in/7.out,275852,58642,19,895,1006,2625342,239693,171190,2832,231,1290,292,3937,2348,159872,581,25
./basic/5.in/8.out,275852,58642,19,895,1006,2666769,264301,180919,2813,237,1296,298,3943,2349,169525,655,27
./basic/5.in/9.out,275852,58642,19,895,1006,2630188,238733,172793,2865,246,1299,294,3982,2343,161378,593,26
./basic/5.in/10.out,275852,58642,19,895,1006,2620953,234490,173894,2832,234,1302,296,3974,2371,162494,587,25
./basic/5.in/11.out,275852,58642,19,895,1006,2656323,262239,177623,2846,232,1288,305,3963,2364,166224,593,27
./basic/5.in/12.out,275852,58642,19,895,1006,2632370,243822,172923,2859,238,1306,294,3971,2381,161483,590,27
./basic/5.in/13.out,275852,58642,19,895,1006,2657853,266088,171062,2858,237,1302,296,3965,2330,159687,586,26
./basic/5.in/14.out,275852,58642,19,895,1006,2669917,264728,196542,2929,291,3680,839,24040,2564,161855,595,26
./basic/5.in/15.out,275852,58642,19,895,1006,2642502,266372,172667,2845,238,1296,296,3971,2379,161250,592,27
./basic/5.in/16.out,275852,58642,19,895,1006,2668309,265306,173003,2863,242,1294,298,3987,2339,161587,595,27
./basic/5.in/17.out,275852,58642,19,895,1006,2668814,264875,168894,2819,235,1347,319,3960,2336,157485,588,25
./basic/5.in/18.out,275852,58642,19,895,1006,2648644,265610,173129,2911,246,1300,298,3964,2353,161670,594,26
./basic/5.in/19.out,275852,58642,19,895,1006,2640097,266411,172418,2855,236,1306,298,3956,2343,161031,589,26
./basic/5.in/20.out,275852,58642,19,895,1006,2647914,264258,167085,2869,240,1294,307,3961,2365,155665,584,27
./basic/5.in/21.out,275852,58642,19,895,1006,2637264,252608,173945,2839,241,1292,297,3963,2341,162585,589,26
./basic/5.in/22.out,275852,58642,19,895,1006,2648891,265994,172686,2863,234,1300,295,3958,2347,161301,584,26
./basic/5.in/23.out,275852,58642,19,895,1006,2639121,241583,168000,2857,237,1296,293,3972,2358,156600,585,26
./basic/5.in/24.out,275852,58642,19,895,1006,2621690,234947,173024,2858,235,1305,296,3967,2368,161599,590,27
./basic/5.in/25.out,275852,58642,19,895,1006,2614537,235648,168889,2837,237,1286,300,3952,2336,157549,591,26
./basic/5.in/26.out,275852,58642,19,895,1006,2645331,261819,173903,2818,230,1294,302,3951,2355,162557,586,26
./basic/5.in/27.out,275852,58642,19,895,1006,2626485,238518,173830,2824,240,1288,298,3958,2351,162488,584,26
./basic/5.in/28.out,275852,58642,19,895,1006,2629606,237422,169155,2830,232,1306,302,3964,2357,157778,581,25
./basic/5.in/29.out,275852,58642,19,895,1006,2670177,265349,172743,2819,237,1296,304,3962,2349,161379,597,26
./basic/5.in/30.out,275852,58642,19,895,1006,2642344,242296,172710,2845,234,1309,299,3962,2352,161313,591,26
./basic/6.in/0.out,2550855,541224,19,8387,1295,5760737,2940155,427259,11294,271,1550,590,12527,9411,389954,1804,116
./basic/6.in/1.out,2550855,541224,19,8387,1295,5746187,2929798,425663,11220,265,1570,588,12285,9390,388682,1801,115
